fontname,ascent,descent
NimbusRoman-BoldItalic,0.699,0.208
NimbusRoman-Italic,0.684,0.206
NimbusRomNo9L,0.683,0.218
NimbusRomNo9L-Bold,0.677,0.202
NimbusRomNo9L-BoldItalic,0.692,0.206
NimbusRomNo9L-Italic,0.693,0.209
NimbusSanL,0.741,0.218
NimbusSans,0.742,0.218
NimbusSans-Bold,0.742,0.218
NimbusSans-BoldItalic,0.742,0.218
NimbusSans-Italic,0.742,0.218
NimbusSansNarrow,0.737,0.22
NimbusSansNarrow-Bold,0.737,0.217
NimbusSansNarrow-BoldItalic,0.737,0.217
NimbusSansNarrow-Italic,0.737,0.22
NotoSerifDisplay,0.76,0.24
NotoSerifDisplay-Black,0.76,0.24
NotoSerifDisplay-BlackItalic,0.76,0.24
NotoSerifDisplay-Bold,0.76,0.24
NotoSerifDisplay-BoldItalic,0.76,0.24
NotoSerifDisplay-ExtraBold,0.76,0.24
NotoSerifDisplay-ExtraBoldItalic,0.76,0.24
NotoSerifDisplay-ExtraLight,0.76,0.24
NotoSerifDisplay-ExtraLightItalic,0.76,0.24
NotoSerifDisplay-Italic,0.76,0.24
NotoSerifDisplay-Light,0.76,0.24
NotoSerifDisplay-LightItalic,0.76,0.24
NotoSerifDisplay-Medium,0.76,0.24
NotoSerifDisplay-MediumItalic,0.76,0.24
NotoSerifDisplay-SemiBold,0.76,0.24
NotoSerifDisplay-SemiBoldItalic,0.76,0.24
NotoSerifDisplay-Thin,0.76,0.24
NotoSerifDisplay-ThinItalic,0.76,0.24
NotoSerifDisplay_Condensed,0.76,0.239
NotoSerifDisplay_Condensed-Black,0.76,0.238
NotoSerifDisplay_Condensed-BlackItalic,0.76,0.24
NotoSerifDisplay_Condensed-Bold,0.76,0.237
NotoSerifDisplay_Condensed-BoldItalic,0.76,0.24
NotoSerifDisplay_Condensed-ExtraBold,0.76,0.237
NotoSerifDisplay_Condensed-ExtraBoldItalic,0.76,0.24
NotoSerifDisplay_Condensed-ExtraLight,0.76,0.241
NotoSerifDisplay_Condensed-ExtraLightItalic,0.76,0.24
NotoSerifDisplay_Condensed-Italic,0.76,0.24
NotoSerifDisplay_Condensed-Light,0.76,0.24
NotoSerifDisplay_Condensed-LightItalic,0.76,0.24
NotoSerifDisplay_Condensed-Medium,0.76,0.239
NotoSerifDisplay_Condensed-MediumItalic,0.76,0.24
NotoSerifDisplay_Condensed-SemiBold,0.76,0.238
NotoSerifDisplay_Condensed-SemiBoldItalic,0.76,0.24
NotoSerifDisplay_Condensed-Thin,0.76,0.241
NotoSerifDisplay_Condensed-ThinItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed,0.76,0.239
NotoSerifDisplay_ExtraCondensed-Black,0.76,0.237
NotoSerifDisplay_ExtraCondensed-BlackItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-Bold,0.76,0.236
NotoSerifDisplay_ExtraCondensed-BoldItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-ExtraBold,0.76,0.235
NotoSerifDisplay_ExtraCondensed-ExtraBoldItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-ExtraLight,0.76,0.241
NotoSerifDisplay_ExtraCondensed-ExtraLightItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-Italic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-Light,0.76,0.24
NotoSerifDisplay_ExtraCondensed-LightItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-Medium,0.76,0.238
NotoSerifDisplay_ExtraCondensed-MediumItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-SemiBold,0.76,0.237
NotoSerifDisplay_ExtraCondensed-SemiBoldItalic,0.76,0.24
NotoSerifDisplay_ExtraCondensed-Thin,0.76,0.242
NotoSerifDisplay_ExtraCondensed-ThinItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed,0.76,0.24
NotoSerifDisplay_SemiCondensed-Black,0.76,0.239
NotoSerifDisplay_SemiCondensed-BlackItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-Bold,0.76,0.239
NotoSerifDisplay_SemiCondensed-BoldItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-ExtraBold,0.76,0.238
NotoSerifDisplay_SemiCondensed-ExtraBoldItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-ExtraLight,0.76,0.24
NotoSerifDisplay_SemiCondensed-ExtraLightItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-Italic,0.76,0.24
NotoSerifDisplay_SemiCondensed-Light,0.76,0.24
NotoSerifDisplay_SemiCondensed-LightItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-Medium,0.76,0.239
NotoSerifDisplay_SemiCondensed-MediumItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-SemiBold,0.76,0.239
NotoSerifDisplay_SemiCondensed-SemiBoldItalic,0.76,0.24
NotoSerifDisplay_SemiCondensed-Thin,0.76,0.241
NotoSerifDisplay_SemiCondensed-ThinItalic,0.76,0.24
OpenSans,0.76,0.24
OpenSans-Bold,0.76,0.24
OpenSans-BoldItalic,0.76,0.24
OpenSans-ExtraBold,0.76,0.24
OpenSans-ExtraBoldItalic,0.76,0.24
OpenSans-Italic,0.76,0.24
OpenSans-Light,0.76,0.24
OpenSans-LightItalic,0.76,0.24
OpenSans-Medium,0.76,0.24
OpenSans-MediumItalic,0.76,0.24
OpenSans-SemiBold,0.76,0.24
OpenSans-SemiBoldItalic,0.76,0.24
OpenSans_Condensed,0.76,0.24
OpenSans_Condensed-Bold,0.76,0.24
OpenSans_Condensed-BoldItalic,0.76,0.241
OpenSans_Condensed-ExtraBold,0.76,0.24
OpenSans_Condensed-ExtraBoldItalic,0.76,0.24
OpenSans_Condensed-Italic,0.76,0.241
OpenSans_Condensed-Light,0.76,0.24
OpenSans_Condensed-LightItalic,0.76,0.241
OpenSans_Condensed-Medium,0.76,0.24
OpenSans_Condensed-MediumItalic,0.76,0.241
OpenSans_Condensed-SemiBold,0.76,0.24
OpenSans_Condensed-SemiBoldItalic,0.76,0.241
OpenSans_SemiCondensed,0.76,0.24
OpenSans_SemiCondensed-Bold,0.76,0.24
OpenSans_SemiCondensed-BoldItalic,0.76,0.24
OpenSans_SemiCondensed-ExtraBold,0.76,0.24
OpenSans_SemiCondensed-ExtraBoldItalic,0.76,0.24
OpenSans_SemiCondensed-Italic,0.76,0.24
OpenSans_SemiCondensed-Light,0.76,0.24
OpenSans_SemiCondensed-LightItalic,0.76,0.241
OpenSans_SemiCondensed-Medium,0.76,0.24
OpenSans_SemiCondensed-MediumItalic,0.76,0.24
OpenSans_SemiCondensed-SemiBold,0.76,0.24
OpenSans_SemiCondensed-SemiBoldItalic,0.76,0.24
P052,0.727,0.283
P052-Bold,0.721,0.266
P052-BoldItalic,0.727,0.271
P052-Italic,0.733,0.276
PlantinMTPro,0.695,0.191
PlantinMTPro-Bold,0.696,0.195
PlantinMTPro-BoldItalic,0.696,0.192
PlantinMTPro-Italic,0.693,0.191
Playfair,0.634,0.193
Playfair-Bold,0.632,0.193
Playfair-BoldItalic,0.642,0.193
Playfair-Italic,0.642,0.193
Playfair_9pt-Bold,0.632,0.193
Playfair_9pt-BoldItalic,0.642,0.193
Playfair_9pt_SemiCondensed-Bold,0.632,0.193
Playfair_9pt_SemiCondensed-BoldItalic,0.642,0.193
Playfair_9pt_SemiExpanded-Bold,0.632,0.193
Playfair_9pt_SemiExpanded-BoldItalic,0.642,0.193
Playfair_SemiCondensed,0.634,0.193
Playfair_SemiCondensed-Bold,0.632,0.193
Playfair_SemiCondensed-BoldItalic,0.642,0.193
Playfair_SemiCondensed-Italic,0.642,0.193
PTSerif,0.752,0.23
PTSerif-Bold,0.752,0.23
PTSerif-BoldItalic,0.752,0.23
PTSerif-Italic,0.752,0.23
Roboto-Bold,0.826,0.209
Roboto_Condensed-Bold,0.828,0.209
Roboto_SemiCondensed-Bold,0.827,0.209
Sabon,0.764,0.228
Sabon-Italic,0.764,0.228
SourceSerif4,0.735,0.236
SourceSerif4-Bold,0.721,0.23
SourceSerif4-BoldItalic,0.722,0.234
SourceSerif4-ExtraBold,0.718,0.228
SourceSerif4-ExtraBoldItalic,0.719,0.233
SourceSerif4_18pt,0.738,0.239
